fixture	lane	repetition	duration_seconds	outcome
resize	docker	1	0.000958500	success
resize	container-engine	1	0.000432958	success
websocket-roundtrip-32b	docker	1	0.000753458	success
websocket-roundtrip-32b	container-engine	1	0.000604000	success
websocket-roundtrip-1mib	docker	1	0.016220709	success
websocket-roundtrip-1mib	container-engine	1	0.011909083	success
resize	container-engine	2	0.000692459	success
resize	docker	2	0.001406458	success
websocket-roundtrip-32b	container-engine	2	0.000729375	success
websocket-roundtrip-32b	docker	2	0.000834333	success
websocket-roundtrip-1mib	container-engine	2	0.012045458	success
websocket-roundtrip-1mib	docker	2	0.027429500	success
resize	docker	3	0.001687875	success
resize	container-engine	3	0.000623667	success
websocket-roundtrip-32b	docker	3	0.001309500	success
websocket-roundtrip-32b	container-engine	3	0.000574042	success
websocket-roundtrip-1mib	docker	3	0.029378541	success
websocket-roundtrip-1mib	container-engine	3	0.012121541	success
resize	container-engine	4	0.000573708	success
resize	docker	4	0.003424459	success
websocket-roundtrip-32b	container-engine	4	0.000647375	success
websocket-roundtrip-32b	docker	4	0.002622583	success
websocket-roundtrip-1mib	container-engine	4	0.012708708	success
websocket-roundtrip-1mib	docker	4	0.030606291	success
resize	docker	5	0.000954416	success
resize	container-engine	5	0.000707792	success
websocket-roundtrip-32b	docker	5	0.000772208	success
websocket-roundtrip-32b	container-engine	5	0.000604917	success
websocket-roundtrip-1mib	docker	5	0.020108208	success
websocket-roundtrip-1mib	container-engine	5	0.011861583	success
resize	container-engine	6	0.000482375	success
resize	docker	6	0.001798667	success
websocket-roundtrip-32b	container-engine	6	0.000781500	success
websocket-roundtrip-32b	docker	6	0.000858875	success
websocket-roundtrip-1mib	container-engine	6	0.011903375	success
websocket-roundtrip-1mib	docker	6	0.027553708	success
resize	docker	7	0.001546166	success
resize	container-engine	7	0.000618625	success
websocket-roundtrip-32b	docker	7	0.000819292	success
websocket-roundtrip-32b	container-engine	7	0.000841375	success
websocket-roundtrip-1mib	docker	7	0.029187291	success
websocket-roundtrip-1mib	container-engine	7	0.015203916	success
resize	container-engine	8	0.000552416	success
resize	docker	8	0.003633959	success
websocket-roundtrip-32b	container-engine	8	0.000688042	success
websocket-roundtrip-32b	docker	8	0.001604167	success
websocket-roundtrip-1mib	container-engine	8	0.012522000	success
websocket-roundtrip-1mib	docker	8	0.025583791	success
resize	docker	9	0.001338792	success
resize	container-engine	9	0.000627500	success
websocket-roundtrip-32b	docker	9	0.000781042	success
websocket-roundtrip-32b	container-engine	9	0.000693250	success
websocket-roundtrip-1mib	docker	9	0.028617792	success
websocket-roundtrip-1mib	container-engine	9	0.012325250	success
resize	container-engine	10	0.000621208	success
resize	docker	10	0.003628334	success
websocket-roundtrip-32b	container-engine	10	0.000612250	success
websocket-roundtrip-32b	docker	10	0.002406333	success
websocket-roundtrip-1mib	container-engine	10	0.012368417	success
websocket-roundtrip-1mib	docker	10	0.030283625	success
resize	docker	11	0.001098083	success
resize	container-engine	11	0.000704209	success
websocket-roundtrip-32b	docker	11	0.000762625	success
websocket-roundtrip-32b	container-engine	11	0.000615083	success
websocket-roundtrip-1mib	docker	11	0.027122750	success
websocket-roundtrip-1mib	container-engine	11	0.011603625	success
