fixture	lane	repetition	duration_seconds	outcome
resize	docker	1	0.000871625	success
resize	container-engine	1	0.000509000	success
websocket-roundtrip-32b	docker	1	0.000791291	success
websocket-roundtrip-32b	container-engine	1	0.000595667	success
websocket-roundtrip-1mib	docker	1	0.015470750	success
websocket-roundtrip-1mib	container-engine	1	0.012526083	success
resize	container-engine	2	0.000541583	success
resize	docker	2	0.001442042	success
websocket-roundtrip-32b	container-engine	2	0.000665583	success
websocket-roundtrip-32b	docker	2	0.000768000	success
websocket-roundtrip-1mib	container-engine	2	0.011881709	success
websocket-roundtrip-1mib	docker	2	0.023453167	success
resize	docker	3	0.002054709	success
resize	container-engine	3	0.000610084	success
websocket-roundtrip-32b	docker	3	0.001292709	success
websocket-roundtrip-32b	container-engine	3	0.000531917	success
websocket-roundtrip-1mib	docker	3	0.026898500	success
websocket-roundtrip-1mib	container-engine	3	0.012205750	success
resize	container-engine	4	0.000648167	success
resize	docker	4	0.002753083	success
websocket-roundtrip-32b	container-engine	4	0.000557542	success
websocket-roundtrip-32b	docker	4	0.001892625	success
websocket-roundtrip-1mib	container-engine	4	0.011605375	success
websocket-roundtrip-1mib	docker	4	0.020435250	success
resize	docker	5	0.002024958	success
resize	container-engine	5	0.000660208	success
websocket-roundtrip-32b	docker	5	0.001827084	success
websocket-roundtrip-32b	container-engine	5	0.000585000	success
websocket-roundtrip-1mib	docker	5	0.024687333	success
websocket-roundtrip-1mib	container-engine	5	0.012136166	success
resize	container-engine	6	0.000514083	success
resize	docker	6	0.003195916	success
websocket-roundtrip-32b	container-engine	6	0.000614583	success
websocket-roundtrip-32b	docker	6	0.001619542	success
websocket-roundtrip-1mib	container-engine	6	0.011981333	success
websocket-roundtrip-1mib	docker	6	0.025021750	success
resize	docker	7	0.001956542	success
resize	container-engine	7	0.000772084	success
websocket-roundtrip-32b	docker	7	0.001578209	success
websocket-roundtrip-32b	container-engine	7	0.000558375	success
websocket-roundtrip-1mib	docker	7	0.023817709	success
websocket-roundtrip-1mib	container-engine	7	0.012282917	success
resize	container-engine	8	0.000625417	success
resize	docker	8	0.002336583	success
websocket-roundtrip-32b	container-engine	8	0.000625333	success
websocket-roundtrip-32b	docker	8	0.001791750	success
websocket-roundtrip-1mib	container-engine	8	0.012057375	success
websocket-roundtrip-1mib	docker	8	0.019556083	success
resize	docker	9	0.002001167	success
resize	container-engine	9	0.000610084	success
websocket-roundtrip-32b	docker	9	0.001340292	success
websocket-roundtrip-32b	container-engine	9	0.000724958	success
websocket-roundtrip-1mib	docker	9	0.019567084	success
websocket-roundtrip-1mib	container-engine	9	0.011786959	success
resize	container-engine	10	0.000651125	success
resize	docker	10	0.003273500	success
websocket-roundtrip-32b	container-engine	10	0.000592958	success
websocket-roundtrip-32b	docker	10	0.005320125	success
websocket-roundtrip-1mib	container-engine	10	0.012096875	success
websocket-roundtrip-1mib	docker	10	0.021742417	success
resize	docker	11	0.002446166	success
resize	container-engine	11	0.000636166	success
websocket-roundtrip-32b	docker	11	0.001352666	success
websocket-roundtrip-32b	container-engine	11	0.000609416	success
websocket-roundtrip-1mib	docker	11	0.024729334	success
websocket-roundtrip-1mib	container-engine	11	0.011840833	success
