fixture	lane	repetition	duration_seconds	outcome
resize	docker	1	0.000752792	success
resize	container-engine	1	0.000442750	success
websocket-roundtrip-32b	docker	1	0.000757667	success
websocket-roundtrip-32b	container-engine	1	0.000601625	success
websocket-roundtrip-1mib	docker	1	0.010540750	success
websocket-roundtrip-1mib	container-engine	1	0.011843667	success
resize	container-engine	2	0.000530625	success
resize	docker	2	0.001461541	success
websocket-roundtrip-32b	container-engine	2	0.000633792	success
websocket-roundtrip-32b	docker	2	0.000989917	success
websocket-roundtrip-1mib	container-engine	2	0.011372792	success
websocket-roundtrip-1mib	docker	2	0.013477708	success
resize	docker	3	0.001050458	success
resize	container-engine	3	0.000690875	success
websocket-roundtrip-32b	docker	3	0.000757333	success
websocket-roundtrip-32b	container-engine	3	0.000642125	success
websocket-roundtrip-1mib	docker	3	0.018003625	success
websocket-roundtrip-1mib	container-engine	3	0.011936125	success
resize	container-engine	4	0.000519459	success
resize	docker	4	0.004070041	success
websocket-roundtrip-32b	container-engine	4	0.000687917	success
websocket-roundtrip-32b	docker	4	0.002375833	success
websocket-roundtrip-1mib	container-engine	4	0.011613000	success
websocket-roundtrip-1mib	docker	4	0.023867125	success
resize	docker	5	0.002007875	success
resize	container-engine	5	0.000683000	success
websocket-roundtrip-32b	docker	5	0.000805291	success
websocket-roundtrip-32b	container-engine	5	0.000606625	success
websocket-roundtrip-1mib	docker	5	0.025328667	success
websocket-roundtrip-1mib	container-engine	5	0.011486208	success
resize	container-engine	6	0.000479959	success
resize	docker	6	0.003414750	success
websocket-roundtrip-32b	container-engine	6	0.000615542	success
websocket-roundtrip-32b	docker	6	0.002342333	success
websocket-roundtrip-1mib	container-engine	6	0.012033792	success
websocket-roundtrip-1mib	docker	6	0.025357917	success
resize	docker	7	0.000928709	success
resize	container-engine	7	0.000582209	success
websocket-roundtrip-32b	docker	7	0.000730625	success
websocket-roundtrip-32b	container-engine	7	0.000558333	success
websocket-roundtrip-1mib	docker	7	0.022800375	success
websocket-roundtrip-1mib	container-engine	7	0.012450709	success
resize	container-engine	8	0.000519083	success
resize	docker	8	0.004724584	success
websocket-roundtrip-32b	container-engine	8	0.000616500	success
websocket-roundtrip-32b	docker	8	0.002798708	success
websocket-roundtrip-1mib	container-engine	8	0.011895042	success
websocket-roundtrip-1mib	docker	8	0.025935833	success
resize	docker	9	0.001417833	success
resize	container-engine	9	0.000669459	success
websocket-roundtrip-32b	docker	9	0.000835625	success
websocket-roundtrip-32b	container-engine	9	0.000632750	success
websocket-roundtrip-1mib	docker	9	0.028382042	success
websocket-roundtrip-1mib	container-engine	9	0.011245708	success
resize	container-engine	10	0.000487375	success
resize	docker	10	0.003689167	success
websocket-roundtrip-32b	container-engine	10	0.000595625	success
websocket-roundtrip-32b	docker	10	0.002313875	success
websocket-roundtrip-1mib	container-engine	10	0.012358042	success
websocket-roundtrip-1mib	docker	10	0.012538583	success
resize	docker	11	0.001084458	success
resize	container-engine	11	0.000674750	success
websocket-roundtrip-32b	docker	11	0.003046500	success
websocket-roundtrip-32b	container-engine	11	0.000762375	success
websocket-roundtrip-1mib	docker	11	0.010878000	success
websocket-roundtrip-1mib	container-engine	11	0.012620292	success
