fixture	lane	repetition	duration_seconds	outcome
resize	docker	1	0.001083666	success
resize	container-engine	1	0.000526583	success
websocket-roundtrip-32b	docker	1	0.000813291	success
websocket-roundtrip-32b	container-engine	1	0.000561458	success
websocket-roundtrip-1mib	docker	1	0.018930375	success
websocket-roundtrip-1mib	container-engine	1	0.013373167	success
resize	container-engine	2	0.000565167	success
resize	docker	2	0.001466750	success
websocket-roundtrip-32b	container-engine	2	0.000761959	success
websocket-roundtrip-32b	docker	2	0.000744834	success
websocket-roundtrip-1mib	container-engine	2	0.012966042	success
websocket-roundtrip-1mib	docker	2	0.018358500	success
resize	docker	3	0.000966208	success
resize	container-engine	3	0.000738375	success
websocket-roundtrip-32b	docker	3	0.000760375	success
websocket-roundtrip-32b	container-engine	3	0.000694667	success
websocket-roundtrip-1mib	docker	3	0.023771666	success
websocket-roundtrip-1mib	container-engine	3	0.013235416	success
resize	container-engine	4	0.000725667	success
resize	docker	4	0.001956208	success
websocket-roundtrip-32b	container-engine	4	0.000715000	success
websocket-roundtrip-32b	docker	4	0.001696709	success
websocket-roundtrip-1mib	container-engine	4	0.012544583	success
websocket-roundtrip-1mib	docker	4	0.026311916	success
resize	docker	5	0.001570209	success
resize	container-engine	5	0.000697916	success
websocket-roundtrip-32b	docker	5	0.001121750	success
websocket-roundtrip-32b	container-engine	5	0.000789584	success
websocket-roundtrip-1mib	docker	5	0.020869083	success
websocket-roundtrip-1mib	container-engine	5	0.012823666	success
resize	container-engine	6	0.000526292	success
resize	docker	6	0.002442875	success
websocket-roundtrip-32b	container-engine	6	0.000557458	success
websocket-roundtrip-32b	docker	6	0.002239292	success
websocket-roundtrip-1mib	container-engine	6	0.012213750	success
websocket-roundtrip-1mib	docker	6	0.021152250	success
resize	docker	7	0.001878459	success
resize	container-engine	7	0.000636833	success
websocket-roundtrip-32b	docker	7	0.001419792	success
websocket-roundtrip-32b	container-engine	7	0.000664250	success
websocket-roundtrip-1mib	docker	7	0.019561167	success
websocket-roundtrip-1mib	container-engine	7	0.012583625	success
resize	container-engine	8	0.000727792	success
resize	docker	8	0.002568750	success
websocket-roundtrip-32b	container-engine	8	0.000587208	success
websocket-roundtrip-32b	docker	8	0.001581333	success
websocket-roundtrip-1mib	container-engine	8	0.012606625	success
websocket-roundtrip-1mib	docker	8	0.017925250	success
resize	docker	9	0.001679708	success
resize	container-engine	9	0.000662125	success
websocket-roundtrip-32b	docker	9	0.001295792	success
websocket-roundtrip-32b	container-engine	9	0.000755542	success
websocket-roundtrip-1mib	docker	9	0.020092500	success
websocket-roundtrip-1mib	container-engine	9	0.015269958	success
resize	container-engine	10	0.000696208	success
resize	docker	10	0.002333541	success
websocket-roundtrip-32b	container-engine	10	0.000601042	success
websocket-roundtrip-32b	docker	10	0.002432958	success
websocket-roundtrip-1mib	container-engine	10	0.011978291	success
websocket-roundtrip-1mib	docker	10	0.021848791	success
resize	docker	11	0.001714041	success
resize	container-engine	11	0.000664834	success
websocket-roundtrip-32b	docker	11	0.001187333	success
websocket-roundtrip-32b	container-engine	11	0.000616042	success
websocket-roundtrip-1mib	docker	11	0.022268167	success
websocket-roundtrip-1mib	container-engine	11	0.011645208	success
